CarTurnLog -- start condition -- 
 mTarget, -1230.295410,-510.817566
 mAngleToTarget, 2.244185
 mMoveAngleError, -3.141021
 mDistError, 0.620492
 mMoveAngleSgn, -1.000000
 mShoulderAngleError, -3.050342
 mShoulderAngleSgn, -1.000000
 mPosition, -1229.908447,-510.332520
 mIsPerfect, 0

CarTurnLog -- iterations -- 
 mPositionX, mPositionZ, mMoveAngle, mShoulderAngle, mSpeed, mT, mDistToTarget, mAngleToTarget, mMoveAngleError, mAbsMoveAngleError, mShoulderAngleError, mAbsShoulderAngleError
-1220.202637, -497.490814, -0.948533, 2.244445, 0.101926, 160.000000, 16.717247, 2.218973, -3.115679, 3.115679, 0.000000, 0.000000
-1220.083862, -497.325104, -0.949173, 2.244445, 0.101926, 162.000000, 16.921061, 2.218657, -3.115356, 3.115356, 0.000000, 0.000000
-1219.965210, -497.159302, -0.949813, 2.244445, 0.101926, 164.000000, 17.124872, 2.218338, -3.115034, 3.115034, 0.000000, 0.000000
-1219.846680, -496.993439, -0.950453, 2.244445, 0.101926, 166.000000, 17.328661, 2.218020, -3.114713, 3.114713, 0.000000, 0.000000
-1219.728271, -496.827484, -0.951093, 2.244445, 0.101926, 168.000000, 17.532450, 2.217700, -3.114393, 3.114393, 0.000000, 0.000000
-1219.609985, -496.661469, -0.951732, 2.244445, 0.101926, 170.000000, 17.736217, 2.217381, -3.114073, 3.114073, 0.000000, 0.000000
-1219.491821, -496.495361, -0.952372, 2.244445, 0.101926, 172.000000, 17.939985, 2.217059, -3.113754, 3.113754, 0.000000, 0.000000
-1219.373779, -496.329193, -0.953012, 2.244445, 0.101926, 174.000000, 18.143730, 2.216738, -3.113435, 3.113435, 0.000000, 0.000000
-1219.255859, -496.162933, -0.953652, 2.244445, 0.101926, 176.000000, 18.347477, 2.216415, -3.113118, 3.113118, 0.000000, 0.000000
-1219.137939, -495.996613, -0.954292, 2.244445, 0.101926, 178.000000, 18.551275, 2.216098, -3.112795, 3.112795, 0.000000, 0.000000
-1219.020142, -495.830200, -0.954932, 2.244445, 0.101926, 180.000000, 18.755074, 2.215780, -3.112474, 3.112474, 0.000000, 0.000000
-1218.902466, -495.663727, -0.955572, 2.244445, 0.101926, 182.000000, 18.958851, 2.215461, -3.112153, 3.112153, 0.000000, 0.000000
-1218.784912, -495.497192, -0.956212, 2.244445, 0.101926, 184.000000, 19.162605, 2.215142, -3.111832, 3.111832, 0.000000, 0.000000
-1218.667480, -495.330566, -0.956852, 2.244445, 0.101926, 186.000000, 19.366360, 2.214821, -3.111512, 3.111512, 0.000000, 0.000000
-1218.550171, -495.163879, -0.957492, 2.244445, 0.101926, 188.000000, 19.570093, 2.214501, -3.111193, 3.111193, 0.000000, 0.000000
-1218.432983, -494.997101, -0.958132, 2.244445, 0.101926, 190.000000, 19.773829, 2.214179, -3.110875, 3.110875, 0.000000, 0.000000
-1218.315918, -494.830261, -0.958772, 2.244445, 0.101926, 192.000000, 19.977541, 2.213857, -3.110557, 3.110557, 0.000000, 0.000000
-1218.198853, -494.663330, -0.959411, 2.244445, 0.101926, 194.000000, 20.181330, 2.213540, -3.110234, 3.110234, 0.000000, 0.000000
-1218.081909, -494.496338, -0.960051, 2.244445, 0.101926, 196.000000, 20.385094, 2.213221, -3.109913, 3.109913, 0.000000, 0.000000
-1217.965088, -494.329254, -0.960691, 2.244445, 0.101926, 198.000000, 20.588861, 2.212902, -3.109592, 3.109592, 0.000000, 0.000000
-1217.848389, -494.162109, -0.961331, 2.244445, 0.101926, 200.000000, 20.792608, 2.212583, -3.109272, 3.109272, 0.000000, 0.000000
-1217.731812, -493.994873, -0.961971, 2.244445, 0.101926, 202.000000, 20.996357, 2.212262, -3.108953, 3.108953, 0.000000, 0.000000
-1217.615356, -493.827576, -0.962611, 2.244445, 0.101926, 204.000000, 21.200083, 2.211941, -3.108633, 3.108633, 0.000000, 0.000000
-1217.499023, -493.660217, -0.963251, 2.244445, 0.101926, 206.000000, 21.403788, 2.211620, -3.108314, 3.108314, 0.000000, 0.000000
-1217.382813, -493.492767, -0.963891, 2.244445, 0.101926, 208.000000, 21.607494, 2.211298, -3.107996, 3.107996, 0.000000, 0.000000
-1217.266602, -493.325256, -0.964531, 2.244445, 0.101926, 210.000000, 21.811253, 2.210981, -3.107674, 3.107674, 0.000000, 0.000000
-1217.150513, -493.157654, -0.965171, 2.244445, 0.101926, 212.000000, 22.015013, 2.210662, -3.107353, 3.107353, 0.000000, 0.000000
-1217.034546, -492.989990, -0.965811, 2.244445, 0.101926, 214.000000, 22.218752, 2.210343, -3.107032, 3.107032, 0.000000, 0.000000
-1216.918701, -492.822235, -0.966451, 2.244445, 0.101926, 216.000000, 22.422495, 2.210024, -3.106711, 3.106711, 0.000000, 0.000000
-1216.802979, -492.654419, -0.967090, 2.244445, 0.101926, 218.000000, 22.626215, 2.209703, -3.106392, 3.106392, 0.000000, 0.000000
-1216.687378, -492.486542, -0.967730, 2.244445, 0.101926, 220.000000, 22.829914, 2.209383, -3.106072, 3.106072, 0.000000, 0.000000
-1216.571899, -492.318573, -0.968370, 2.244445, 0.101926, 222.000000, 23.033617, 2.209062, -3.105753, 3.105753, 0.000000, 0.000000
-1216.456543, -492.150543, -0.969010, 2.244445, 0.101926, 224.000000, 23.237297, 2.208741, -3.105435, 3.105435, 0.000000, 0.000000
-1216.341187, -491.982422, -0.969650, 2.244445, 0.101926, 226.000000, 23.441055, 2.208423, -3.105113, 3.105113, 0.000000, 0.000000
-1216.225952, -491.814240, -0.970290, 2.244445, 0.101926, 228.000000, 23.644789, 2.208105, -3.104791, 3.104791, 0.000000, 0.000000
-1216.110840, -491.645966, -0.970930, 2.244445, 0.101926, 230.000000, 23.848528, 2.207785, -3.104470, 3.104470, 0.000000, 0.000000
-1215.995850, -491.477631, -0.971570, 2.244445, 0.101926, 232.000000, 24.052246, 2.207466, -3.104150, 3.104150, 0.000000, 0.000000
-1215.880981, -491.309235, -0.972210, 2.244445, 0.101926, 234.000000, 24.255941, 2.207146, -3.103829, 3.103829, 0.000000, 0.000000
-1215.766235, -491.140747, -0.972850, 2.244445, 0.101926, 236.000000, 24.459642, 2.206826, -3.103510, 3.103510, 0.000000, 0.000000
